conference,paper_id,doi,first_page,track,papers_with_this_track,note
21,915,,659,Production Planning and Control,22,
21,954,,669,Production Planning and Control,22,
21,903,,679,Production Planning and Control,22,
21,897,,689,Production Planning and Control,22,
21,863,,699,Production Planning and Control,22,
21,884,,709,Production Planning and Control,22,
21,906,,719,Production Planning and Control,22,
21,930,,729,Production Planning and Control,22,
21,888,,741,Enabling Lean with IT,9,
21,886,,751,Enabling Lean with IT,9,
21,909,,761,Enabling Lean with IT,9,
21,914,,771,Enabling Lean with IT,9,
21,865,,781,Enabling Lean with IT,9,
21,918,,791,Enabling Lean with IT,9,
21,871,,801,Enabling Lean with IT,9,
21,908,,811,Enabling Lean with IT,9,
21,873,,821,Enabling Lean with IT,9,
21,867,,833,Safety and Quality,3,
21,869,,843,Safety and Quality,3,
21,895,,853,Safety and Quality,3,
21,937,,865,Sustainability and Lean,8,
21,876,,875,Sustainability and Lean,8,
21,905,,885,Sustainability and Lean,8,
21,921,,895,Sustainability and Lean,8,
21,912,,905,Sustainability and Lean,8,
21,875,,915,Sustainability and Lean,8,
21,958,,925,Sustainability and Lean,8,
21,901,,935,Sustainability and Lean,8,
21,864,,947,"People, Culture and Change",8,
21,917,,957,"People, Culture and Change",8,
21,877,,967,"People, Culture and Change",8,
21,956,,977,"People, Culture and Change",8,
21,949,,987,"People, Culture and Change",8,
21,926,,997,"People, Culture and Change",8,
21,936,,1007,"People, Culture and Change",8,
21,874,,1017,"People, Culture and Change",8,
21,957,,1029,Industry Papers,5,
21,900,,1039,Industry Papers,5,
21,887,,1049,Industry Papers,5,
21,904,,1057,Industry Papers,5,
21,891,,1067,Industry Papers,5,
22,1022,,3,Theory,9,
22,973,,15,Theory,9,
22,1018,,27,Theory,9,
22,978,,39,Theory,9,
22,1041,,51,Theory,9,
22,1039,,61,Theory,9,
22,1062,,73,Theory,9,
22,1038,,85,Theory,9,
22,1040,,97,Theory,9,
22,1015,,111,"Sustainability, Green and Lean",4,
22,983,,123,"Sustainability, Green and Lean",4,
22,966,,133,"Sustainability, Green and Lean",4,
22,1057,,145,"Sustainability, Green and Lean",4,
22,998,,159,Contract and Cost Management,7,
22,1065,,171,Contract and Cost Management,7,
22,1064,,183,Contract and Cost Management,7,
22,996,,195,Contract and Cost Management,7,
22,1014,,207,Contract and Cost Management,7,
22,1068,,221,Contract and Cost Management,7,
22,987,,233,Contract and Cost Management,7,
22,1055,,247,Integrated Project Delivery,7,
22,1045,,257,Integrated Project Delivery,7,
22,1013,,269,Integrated Project Delivery,7,
22,1059,,281,Integrated Project Delivery,7,
22,1019,,293,Integrated Project Delivery,7,
22,1081,,305,Integrated Project Delivery,7,
22,1001,,317,Integrated Project Delivery,7,
22,1087,,331,Value in Construction,5,
22,1006,,343,Value in Construction,5,
22,1028,,353,Value in Construction,5,
22,1088,,365,Value in Construction,5,
22,1031,,377,Value in Construction,5,
22,989,,391,Design Management,12,
22,992,,401,Design Management,12,
22,1011,,413,Design Management,12,
22,1053,,425,Design Management,12,
22,1030,,437,Design Management,12,
22,1077,,451,Design Management,12,
22,1049,,463,Design Management,12,
22,997,,475,Design Management,12,
22,1007,,487,Design Management,12,
22,1042,,497,Design Management,12,
22,1029,,509,Design Management,12,
22,1003,,519,Design Management,12,
22,1051,,535,Production Planning and Control,22,
22,1086,,547,Production Planning and Control,22,
22,988,,559,Production Planning and Control,22,
22,1063,,571,Production Planning and Control,22,
22,975,,581,Production Planning and Control,22,
22,1008,,593,Production Planning and Control,22,
22,1070,,605,Production Planning and Control,22,
22,982,,617,Production Planning and Control,22,
22,990,,627,Production Planning and Control,22,
22,1034,,639,Production Planning and Control,22,
22,1082,,651,Production Planning and Control,22,
22,1002,,663,Production Planning and Control,22,
22,1048,,677,Production Planning and Control,22,
22,1089,,689,Production Planning and Control,22,
22,1047,,703,Production Planning and Control,22,
22,968,,715,Production Planning and Control,22,
22,967,,727,Production Planning and Control,22,
22,1090,,739,Production Planning and Control,22,
22,1044,,751,Production Planning and Control,22,
22,1016,,763,Production Planning and Control,22,
22,1074,,775,Production Planning and Control,22,
22,1023,,787,Production Planning and Control,22,
22,999,,801,Waste in Construction,11,
22,1076,,811,Waste in Construction,11,
22,995,,823,Waste in Construction,11,
22,1078,,835,Waste in Construction,11,
22,1036,,847,Waste in Construction,11,
22,1010,,859,Waste in Construction,11,
22,993,,871,Waste in Construction,11,
22,969,,883,Waste in Construction,11,
22,1032,,895,Waste in Construction,11,
22,1071,,907,Waste in Construction,11,
22,1056,,919,Waste in Construction,11,
22,1004,,933,Building Information Modeling (BIM) and Lean,4,
22,1067,,938,"Industrialisation, prefabrication, assembly and open building",5,
22,1052,,945,Building Information Modeling (BIM) and Lean,4,
22,1069,,957,Building Information Modeling (BIM) and Lean,4,
22,1085,,969,Building Information Modeling (BIM) and Lean,4,
22,972,,995,"Industrialisation, prefabrication, assembly and open building",5,
22,1073,,1007,"Industrialisation, prefabrication, assembly and open building",5,
22,976,,1019,"Industrialisation, prefabrication, assembly and open building",5,
22,1072,,1031,"Industrialisation, prefabrication, assembly and open building",5,
22,1083,,1045,Supply Chain Management,5,
22,1009,,1057,Supply Chain Management,5,
22,1005,,1069,Supply Chain Management,5,
22,979,,1083,Supply Chain Management,5,
22,1037,,1095,Supply Chain Management,5,
22,1025,,1109,"People, Culture and Change",8,
22,986,,1121,"People, Culture and Change",8,
22,1061,,1133,"People, Culture and Change",8,
22,1080,,1145,"People, Culture and Change",8,
22,981,,1157,"People, Culture and Change",8,
22,1079,,1169,"People, Culture and Change",8,
22,1021,,1181,"People, Culture and Change",8,
22,984,,1191,"People, Culture and Change",8,
22,1020,,1205,Safety and Lean,1,
22,1060,,1221,Teaching Lean Construction,5,
22,1017,,1233,Teaching Lean Construction,5,
22,1066,,1245,Teaching Lean Construction,5,
22,991,,1257,Teaching Lean Construction,5,
22,1000,,1269,Teaching Lean Construction,5,
22,970,,1283,Industry Papers,20,
22,974,,1295,Industry Papers,20,
22,1046,,1307,Industry Papers,20,
22,971,,1319,Industry Papers,20,
