url,status,location,content_type,title,found_on,note
https://www.iglc.net/Papers/Conference/6,200,,text/html; charset=utf-8,IGLC.net - Conference Papers,https://www.iglc.net/Papers,
https://www.iglc.net/ForAuthors?view=About,200,,text/html; charset=utf-8,IGLC.net - Author Resources &ndash; About,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=PaperSubmissionAndReviewProcess,200,,text/html; charset=utf-8,IGLC.net - Author Resources &ndash; Paper Submission and Review Process,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=Templates,200,,text/html; charset=utf-8,IGLC.net - Templates,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=ContentRequirements,200,,text/html; charset=utf-8,IGLC.net - Content Requirements,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=FormattingRequirements,200,,text/html; charset=utf-8,IGLC.net - Formatting Requirements,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=Keywords,200,,text/html; charset=utf-8,IGLC.net - Author Resources &ndash; Keywords,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=Publication,200,,text/html; charset=utf-8,IGLC.net - Author Resources &ndash; Publication Schedule,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=CopyrightPolicy,200,,text/html; charset=utf-8,IGLC.net - Author Resources &ndash; Copyright Policy,https://www.iglc.net/ForAuthors,
https://www.iglc.net/ForAuthors?view=EthicsAndMalpracticeStatement,200,,text/html; charset=utf-8,IGLC.net - EthicsAndMalpracticeStatement,https://www.iglc.net/ForAuthors,
https://www.iglc.net/Community/index.html,404,,text/html,,https://www.iglc.net/Community/Links,
https://www.iglc.net/Home/index.html,404,,text/html,,https://www.iglc.net/Home/About,
https://www.iglc.net/Content/Documents/Standards/IGLC%20standard-%20Proposals%20to%20host%20IGLC%20Conferences.pdf,200,,application/pdf,,https://www.iglc.net/Home/Standards,
https://www.iglc.net/Content/Documents/Standards/IGLC%20Standard%20-%20Conference%20Name%20and%20Logo.pdf,200,,application/pdf,,https://www.iglc.net/Home/Standards,
https://www.iglc.net/Content/Documents/Standards/IGLC%20standard%20-%20Annual%20Conference%20of%20the%20International%20Group%20for%20Lean%20Construction.pdf,200,,application/pdf,,https://www.iglc.net/Home/Standards,
https://www.iglc.net/Home/Copyright,200,,text/html; charset=utf-8,IGLC.net - Copyright,https://www.iglc.net/Home/Contact,
https://www.iglc.net/Home/ActiveConference,301,/ActiveConference,text/html; charset=utf-8,,https://www.iglc.net/Home/Contact,
https://www.iglc.net/Content/Proceedings/IGLC32-2024-Proceedings.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC31-Proceedings.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2022-Proceedings.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2021-Proceedings.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2019-Proceedings-Volume-1.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2019-Proceedings-Volume-2.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2018-Proceedings-Vol1_Vol2.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2017_Full_Proceedings-part_1.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2017_Full_Proceedings-part_2.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2016-Conference-Proceedings-Volume-1-of-2.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2016-Conference-Proceedings-Volume-2-of-2.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Content/Proceedings/IGLC-2015-Proceedings.pdf,200,,application/pdf,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Index/Papers,404,,text/html; charset=utf-8,,https://www.iglc.net/Proceedings,
https://www.iglc.net/Papers/index.html,404,,text/html,,https://www.iglc.net/Papers/Search,
https://www.iglc.net/Papers/ExportConferenceBibtex/36,,,,,https://www.iglc.net/Papers/Conference/36,not fetched
https://www.iglc.net/Papers/ExportConferenceRis/36,,,,,https://www.iglc.net/Papers/Conference/36,not fetched
